	address	attributes	AcceptsInsurance	AgesAllowed	Alcohol	Ambience	BYOB	BYOBCorkage	BestNights	BikeParking	BusinessAcceptsBitcoin	BusinessAcceptsCreditCards	BusinessParking	ByAppointmentOnly	Caters	CoatCheck	Corkage	DietaryRestrictions	DogsAllowed	DriveThru	GoodForDancing	GoodForKids	GoodForMeal	HairSpecializesIn	HappyHour	HasTV	Music	NoiseLevel	Open24Hours	OutdoorSeating	RestaurantsAttire	RestaurantsCounterService	RestaurantsDelivery	RestaurantsGoodForGroups	RestaurantsPriceRange2	RestaurantsReservations	RestaurantsTableService	RestaurantsTakeOut	Smoking	WheelchairAccessible	WiFi	business_id	categories	city	hours	Friday	Monday	Saturday	Sunday	Thursday	Tuesday	Wednesday	is_open	latitude	longitude	name	neighborhood	postal_code	review_count	stars	state	cuisine
249	2201 S Fort Apache Rd				full_bar	{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}				True		True	{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}		False							True	{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}			True		average		True	casual		False	True	2	True	True	True		True	no	XeDLyY2a7nZ3IEY4RYslXA	American (New), Restaurants, Food, Breweries, Brewpubs	Las Vegas		0:0-0:0	0:0-0:0	0:0-0:0	0:0-0:0	0:0-0:0	0:0-0:0	0:0-0:0	1	36.147496	-115.2980657	Chicago Brewing Company	Westside	89117	446	3.5	NV	american
1304	6605 S Las Vegas Blvd, Ste 145				full_bar	{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': False}			{'monday': False, 'tuesday': True, 'friday': False, 'wednesday': True, 'thursday': True, 'sunday': False, 'saturday': False}			True	{'garage': True, 'street': True, 'validated': False, 'lot': True, 'valet': False}			False					True	False	{'dessert': False, 'latenight': True, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}		True	True	{'dj': True, 'background_music': True, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}	average		True	casual		False	True	3	True	True	True	yes	True	no	stbX9rtRIpDF-VymOwHJ8w	Hookah Bars, Bars, Mediterranean, Nightlife, American (New), Restaurants, American (Traditional)	Las Vegas		17:0-4:30	17:0-0:0	17:0-4:30		17:0-5:0	17:0-1:0	17:0-4:0	0	36.0687779	-115.1768402	Nu Sanctuary Lounge	Southeast	89119	69	2.5	NV	american
2473	4225 E Sahara Ave, Ste 6				none	{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}				True		True	{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}		True							True	{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': True}			True		quiet		False	casual		True	True	1	False	True	True		True	no	Vn-Xqc1qkF1Vh2Z-wHkBVw	Breakfast & Brunch, Restaurants, Sandwiches, American (New)	Las Vegas		8:0-18:0	9:0-18:0	8:0-18:0		8:0-18:0	8:0-18:0	8:0-18:0	1	36.143775	-115.082142	Bagels And Subs	Sunrise	89104	21	4.5	NV	american
2784	6700 W Charleston Blvd, Unit C				none	{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': True, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}				True		True	{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}		True							True	{'dessert': True, 'latenight': True, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}			False		quiet		False	casual		True	True	1	False	True	True		True	free	xd-AnaGxEMKT2zTEheP6_w	American (New), Restaurants, American (Traditional)	Las Vegas		16:30-4:0	16:30-4:0	16:30-4:0	16:30-4:0	16:30-4:0	16:30-4:0	16:30-4:0	0	36.15962	-115.2425364	Tony Marcs 420 Eats	Westside	89146	127	4.0	NV	american
2852	7160 North Durango Dr, Ste 110				beer_and_wine	{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}				True		True	{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}		True							True	{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}			True		average		True	casual		False	True	2	True	False	True			no	w55IYhyLHUdsRlo_EvMmNQ	Salad, American (New), Pizza, Sandwiches, Restaurants	Las Vegas		12:0-20:0	12:0-20:0	12:0-20:0		12:0-20:0	12:0-20:0	12:0-20:0	0	36.2914365	-115.2870159	Table 89	Centennial	89149	79	3.5	NV	american
3296	6689 Las Vegas Blvd				beer_and_wine	{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}				True		True	{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}		False	False					False	False	{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}		True	True	{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': True, 'video': False, 'jukebox': False}	average		False	casual		False	True	2	False	True	True			free	VWnMgGRexZMGFs7IrQR_9Q	Wine Bars, Beer Bar, Restaurants, American (New), Nightlife, Bars, Salad	Las Vegas		11:0-21:0	11:0-21:0	11:0-21:0	11:0-21:0	11:0-21:0	11:0-21:0	11:0-21:0	1	36.067581	-115.17423	LV bar	Southeast	89119	22	4.5	NV	american
3537	6683 Las Vegas Blvd S				full_bar	{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}			{'monday': True, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}	True		True	{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}		False	False					False	True	{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}		True	True	{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}	average		True	casual		False	True	2	True	True	True	outdoor	True	free	VGWEpMEkzQopS5lUNd06Sw	Restaurants, Bars, Nightlife, American (New), Seafood, American (Traditional), Sports Bars	Las Vegas		11:0-2:0	11:0-0:0	11:0-2:0	11:0-0:0	11:0-2:0	11:0-0:0	11:0-0:0	1	36.0661824639	-115.175287547	Miller's Ale House - Las Vegas	Southeast	89119	583	3.5	NV	american
3633	6430 N Durango Dr, Ste 110				full_bar	{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}			{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}	True		True	{'garage': True, 'street': False, 'validated': False, 'lot': True, 'valet': False}		False	False					False	False	{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'breakfast': True, 'brunch': True}		True	True	{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}	average		False	casual		False	True	2	False	True	True	yes		free	vFfU79z5a5jQaQA_ka2ftA	Breakfast & Brunch, Bars, Food, American (New), Nightlife, Cocktail Bars, Restaurants, Desserts	Las Vegas		0:0-0:0	0:0-0:0	0:0-0:0	0:0-0:0	0:0-0:0	0:0-0:0	0:0-0:0	1	36.2777832	-115.2863335	Distill - A Local Bar	Centennial	89149	203	4.0	NV	american
3722	3340 S Maryland				full_bar	{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}			{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': True, 'sunday': True, 'saturday': True}	True		True	{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}		False	False			False	False	False	True	{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}		True	True	{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}	average		False	casual		False	True	2	False	True	True	no	True	free	Wg91oE233AzNieNryRJYYg	Burgers, American (New), American (Traditional), Bars, Nightlife, Restaurants, Sports Bars, Steakhouses	Las Vegas		11:0-0:0	11:0-0:0	11:0-0:0	11:0-0:0	11:0-0:0	11:0-0:0	11:0-0:0	1	36.12920857	-115.1369381	Applebee's Grill + Bar	Eastside	89169	130	2.5	NV	american
3970	4830 W Pyle Ave				full_bar	{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}			{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}	True		True	{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}		False	False					False	False	{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}		True	True	{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}	average		False	casual		False	True	2	False	True	True	yes		free	mwE5uNVkxCXvEuVa1KQ_3g	Restaurants, Beer, Wine & Spirits, American (New), Food, Nightlife, Bars	Las Vegas		0:0-0:0	0:0-0:0	0:0-0:0	0:0-0:0	0:0-0:0	0:0-0:0	0:0-0:0	1	36.006571	-115.20638	Distill - A Local Bar	Southwest	89141	300	4.0	NV	american
